,Unnamed: 0,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,HOME,TEAM_PERF,OPP_PERF,TEAM_WINS,TEAM_POINTS,OPPOSITION_POINTS,TEAM_FG,OPP_FG,TEAM_FT,OPP_FT,TEAM_FG3,OPP_FG3,TEAM_AST,OPP_AST,TEAM_REB,OPP_REB,OPP_WINS
64,1054,2022-02-08,22100822,Final,1610612747,1610612749,2021,1610612747,116.0,0.518,0.6,0.313,28.0,41.0,1610612749,131.0,0.542,0.6,0.417,31.0,42.0,0,1,116.0,131.0,0,116.0,116.0,0.518,0.542,0.6,0.6,0.313,0.6,28.0,31.0,41.0,42.0,1
65,1073,2022-02-05,22100799,Final,1610612747,1610612752,2021,1610612747,122.0,0.471,0.607,0.265,29.0,57.0,1610612752,115.0,0.398,0.722,0.289,24.0,56.0,1,1,122.0,115.0,1,122.0,122.0,0.471,0.398,0.607,0.722,0.265,0.722,29.0,24.0,57.0,56.0,0
66,1090,2022-02-03,22100786,Final,1610612746,1610612747,2021,1610612746,111.0,0.517,0.545,0.433,29.0,43.0,1610612747,110.0,0.466,0.68,0.379,19.0,44.0,1,0,110.0,111.0,0,110.0,110.0,0.466,0.517,0.68,0.545,0.379,0.545,19.0,29.0,44.0,43.0,1
67,1099,2022-02-02,22100781,Final,1610612747,1610612757,2021,1610612747,99.0,0.423,0.667,0.367,25.0,53.0,1610612757,94.0,0.357,0.526,0.333,23.0,55.0,1,1,99.0,94.0,1,99.0,99.0,0.423,0.357,0.667,0.526,0.367,0.526,25.0,23.0,53.0,55.0,0
68,1115,2022-01-30,22100751,Final,1610612737,1610612747,2021,1610612737,129.0,0.583,0.656,0.323,31.0,45.0,1610612747,121.0,0.54,0.522,0.429,29.0,38.0,1,0,121.0,129.0,0,121.0,121.0,0.54,0.583,0.522,0.656,0.429,0.656,29.0,31.0,38.0,45.0,1
69,1130,2022-01-28,22100735,Final,1610612766,1610612747,2021,1610612766,117.0,0.518,0.714,0.306,25.0,50.0,1610612747,114.0,0.418,0.719,0.375,19.0,44.0,1,0,114.0,117.0,0,114.0,114.0,0.418,0.518,0.719,0.714,0.375,0.714,19.0,25.0,44.0,50.0,1
70,1140,2022-01-27,22100733,Final,1610612755,1610612747,2021,1610612755,105.0,0.5,0.588,0.371,30.0,41.0,1610612747,87.0,0.409,1.0,0.207,19.0,42.0,1,0,87.0,105.0,0,87.0,87.0,0.409,0.5,1.0,0.588,0.207,0.588,19.0,30.0,42.0,41.0,1
71,1157,2022-01-25,22100718,Final,1610612751,1610612747,2021,1610612751,96.0,0.42,0.682,0.259,20.0,54.0,1610612747,106.0,0.472,1.0,0.316,23.0,33.0,0,0,106.0,96.0,1,106.0,106.0,0.472,0.42,1.0,0.682,0.316,0.682,23.0,20.0,33.0,54.0,0
72,1167,2022-01-23,22100700,Final,1610612748,1610612747,2021,1610612748,113.0,0.494,0.9,0.455,31.0,39.0,1610612747,107.0,0.456,0.8,0.275,20.0,38.0,1,0,107.0,113.0,0,107.0,107.0,0.456,0.494,0.8,0.9,0.275,0.9,20.0,31.0,38.0,39.0,1
73,1180,2022-01-21,22100685,Final,1610612753,1610612747,2021,1610612753,105.0,0.444,0.759,0.275,23.0,35.0,1610612747,116.0,0.494,0.826,0.433,23.0,45.0,0,0,116.0,105.0,1,116.0,116.0,0.494,0.444,0.826,0.759,0.433,0.759,23.0,23.0,45.0,35.0,0
74,1205,2022-01-19,22100680,Final,1610612747,1610612754,2021,1610612747,104.0,0.444,0.722,0.324,23.0,40.0,1610612754,111.0,0.489,0.8,0.367,28.0,48.0,0,1,104.0,111.0,0,104.0,104.0,0.444,0.489,0.722,0.8,0.324,0.8,23.0,28.0,40.0,48.0,1
75,1219,2022-01-17,22100665,Final,1610612747,1610612762,2021,1610612747,101.0,0.442,0.609,0.297,15.0,45.0,1610612762,95.0,0.373,0.875,0.261,21.0,44.0,1,1,101.0,95.0,1,101.0,101.0,0.442,0.373,0.609,0.875,0.297,0.875,15.0,21.0,45.0,44.0,0
76,1232,2022-01-15,22100649,Final,1610612743,1610612747,2021,1610612743,133.0,0.516,0.941,0.575,35.0,51.0,1610612747,96.0,0.439,0.737,0.333,21.0,41.0,1,0,96.0,133.0,0,96.0,96.0,0.439,0.516,0.737,0.941,0.333,0.941,21.0,35.0,41.0,51.0,1
